plot_key,lat,lon,gps_acc_m,alt_m,district,block,habitation,site_polygon,n_trees,loreys_h_m,h_top5_m,h_mean_m,h_max_m,dbh_mean_cm,basal_area_cm2,crown_cover_pct,n_species,dominant_sp,sp_dominance,eth_chm,eth_chm_3x3,eth_chm_std_3x3,eth_sd,eth_sd_3x3,ndvi_amplitude,ndvi_mean
18.578415_82.837159,18.5784,82.8372,4.762,1141.7,KORAPUT,SEMILIGUDA,HANDAPUR,,10,5.686,5.8,3.743,8.0,5.4431,415.9514,28.0,8,Hadjam,0.2,14,13.666666984558105,0.4714045207910317,5,4.888888835906982,0.23247435331975214,0.6850072919233041
18.57855_82.839376,18.5785,82.8394,4.933,996.3,KORAPUT,SEMILIGUDA,HANDAPUR,,17,5.491,6.2,3.6359,8.0,6.5909,931.2156,38.0,12,Bija Pterocarpus marsupium,0.1176,12,11.666666984558105,0.4714045207910317,5,5.0,0.23744903427803157,0.6743188124940824
18.578663_82.834354,18.5787,82.8344,4.509,919.55,KORAPUT,SEMILIGUDA,HANDAPUR,,35,4.5395,5.0,3.0763,5.0,5.0657,935.9106,18.0,16,Pitmari Cipadessa baccifera,0.1714,14,14.0,0.0,5,5.333333492279053,0.20444961942744133,0.7678849873198579
18.578716_82.835005,18.5787,82.835,4.754,939.5088,KORAPUT,SEMILIGUDA,HANDAPUR,,34,4.7037,5.4,2.9103,6.0,4.8964,900.2599,23.0,12,Charkauli Buchanania lanzan,0.2353,14,14.0,0.0,5,5.44444465637207,0.21858898560618775,0.7826179145084136
18.578741_82.834651,18.5787,82.8347,6.258,958.8,KORAPUT,SEMILIGUDA,HANDAPUR,,17,5.4319,5.8,3.7147,7.0,6.2164,795.1381,38.0,11,Amba Mangifera indica,0.1765,14,14.0,0.0,6,5.666666507720947,0.20503150540535844,0.7498024613336565
18.579554_82.833869,18.5796,82.8339,6.433,949.6,KORAPUT,SEMILIGUDA,HANDAPUR,,13,5.2346,5.2,3.6923,6.0,6.8804,804.6078,23.0,11,Amba Mangifera indica,0.1538,12,12.333333015441895,0.4714045207910317,5,5.0,0.22918278132752545,0.65881760182021
18.586698_82.830332,18.5867,82.8303,13.718,916.4,KORAPUT,SEMILIGUDA,HATIMUNDA,,5,11.4201,6.6,6.6,12.0,7.4485,404.0148,43.0,4,Amba Mangifera indica,0.4,15,14.777777671813965,0.41573970964156254,6,5.888888835906982,0.16744013012960318,0.8197766972238145
18.587339_82.828831,18.5873,82.8288,7.404,979.6,KORAPUT,SEMILIGUDA,HATIMUNDA,,8,6.8528,7.0,5.775,11.0,8.7933,632.243,43.0,6,Jamu Koli Syzygium cumini,0.25,19,19.0,0.6666666666666666,6,6.55555534362793,0.07638211625842478,0.8426592889088664
18.587424_82.827393,18.5874,82.8274,4.9,976.7,KORAPUT,SEMILIGUDA,HATIMUNDA,,11,4.4811,5.0,4.3636,5.0,7.0607,586.8043,78.0,8,Amba Mangifera indica,0.2727,17,17.0,0.0,6,6.0,0.08994075447648746,0.8165976303143113
18.587441_82.81896,18.5874,82.819,4.941,895.4482,KORAPUT,SEMILIGUDA,BILAPUT,,58,5.5957,6.6,3.8943,7.0,7.0577,3153.1777,28.0,14,Amba Mangifera indica,0.2069,16,15.666666984558105,0.4714045207910317,7,6.777777671813965,0.15157210372155686,0.7138720333916381
18.588535_82.82654,18.5885,82.8265,5.0,990.1,KORAPUT,SEMILIGUDA,HATIMUNDA,,9,11.5573,9.2,6.1111,20.0,6.4016,597.8655,53.0,7,Amba Mangifera indica,0.3333,16,16.33333396911621,0.4714045207910317,7,6.666666507720947,0.08388599069965082,0.8470207686567863
18.58884_82.818969,18.5888,82.819,4.213,921.7756,KORAPUT,SEMILIGUDA,BILAPUT,,36,4.5726,5.0,2.825,5.0,5.2433,1152.2022,38.0,14,Charkauli Buchanania lanzan,0.2778,15,15.55555534362793,0.4969039949999476,6,6.0,0.22139023792268517,0.7020175820014072
18.589041_82.818128,18.589,82.8181,4.966,920.377,KORAPUT,SEMILIGUDA,BILAPUT,,37,4.7559,5.2,2.7938,6.0,5.9102,1618.367,43.0,13,Pitmari Cipadessa baccifera,0.1892,16,15.333333015441895,0.816496580927726,5,5.666666507720947,0.22108080491326948,0.7372357286845049
18.589244_82.825077,18.5892,82.8251,4.928,810.4,KORAPUT,SEMILIGUDA,HATIMUNDA,,8,9.4601,7.4,5.625,14.0,7.1222,510.9669,68.0,7,Jamu Koli Syzygium cumini,0.25,18,18.11111068725586,0.31426968052731874,8,7.44444465637207,0.0753523415987231,0.8303004946527252
18.589309_82.825484,18.5893,82.8255,4.933,952.9,KORAPUT,SEMILIGUDA,HATIMUNDA,,7,18.1125,11.4,8.7143,22.0,7.3211,516.5374,33.0,6,Jamu Koli Syzygium cumini,0.2857,16,16.33333396911621,0.4714045207910317,7,7.333333492279053,0.0816573718241869,0.8352816800714113
18.589582_82.817618,18.5896,82.8176,4.832,944.913,KORAPUT,SEMILIGUDA,BILAPUT,,36,5.3314,6.0,3.3153,6.0,6.7641,2027.7136,38.0,14,Amba Mangifera indica,0.1667,17,16.66666603088379,0.4714045207910317,5,5.44444465637207,0.16830905641879254,0.7030941640003566
18.589732_82.827324,18.5897,82.8273,3.911,863.8452,KORAPUT,SEMILIGUDA,HATIMUNDA,,20,10.7857,23.2,16.45,25.0,13.7828,5373.5483,13.0,12,Gau Koli Diospyros ferrea,0.15,16,15.777777671813965,0.41573970964156254,6,5.888888835906982,0.16920700418762769,0.742783384856063
18.590069_82.822561,18.5901,82.8226,6.768,991.4,KORAPUT,SEMILIGUDA,HATIMUNDA,,5,20.8293,8.2,8.2,24.0,5.9842,267.5395,58.0,5,Gambhari Gmelina arborea,0.2,21,21.0,0.0,8,8.0,0.08811683865331292,0.819817868045379
18.590157_82.829946,18.5902,82.8299,5.0,948.5,KORAPUT,SEMILIGUDA,HATIMUNDA,,8,5.9001,6.0,4.775,9.0,5.7694,285.2852,13.0,7,Other,0.25,14,14.11111068725586,0.31426968052735893,5,5.222222328186035,0.22638726956756378,0.7454318520281569
18.590763_82.817554,18.5908,82.8176,4.767,931.7679,KORAPUT,SEMILIGUDA,BILAPUT,,37,5.7666,6.8,3.2795,7.0,7.3039,2641.415,28.0,12,Pitmari Cipadessa baccifera,0.2162,16,15.88888931274414,0.7370277311900736,6,6.0,0.15265034204601946,0.7884481787434224
18.590785_82.824487,18.5908,82.8245,4.887,862.7615,KORAPUT,SEMILIGUDA,HATIMUNDA,,20,11.4038,26.2,17.65,35.0,12.5892,4687.9884,13.0,13,Pitmari Cipadessa baccifera,0.2,20,19.88888931274414,0.5665577237325118,8,7.44444465637207,0.16577838526856406,0.7688764946326933
18.590802_82.814215,18.5908,82.8142,4.709,898.4081,KORAPUT,SEMILIGUDA,BILAPUT,,21,6.5135,7.0,3.4676,7.0,14.7332,7347.7063,28.0,6,Amba Mangifera indica,0.5238,15,15.333333015441895,0.4714045207910317,6,6.0,0.16244115215254856,0.7683780881342654
18.590809_82.826211,18.5908,82.8262,4.573,852.3204,KORAPUT,SEMILIGUDA,HATIMUNDA,,20,9.8683,23.4,16.15,25.0,12.4459,4458.8849,13.0,14,Gau Koli Diospyros ferrea,0.15,13,13.0,0.6666666666666666,7,7.0,0.222365528809039,0.531372091666703
18.590818_82.825501,18.5908,82.8255,4.911,852.2441,KORAPUT,SEMILIGUDA,HATIMUNDA,,20,8.9778,23.8,15.65,27.0,12.6051,4539.2581,13.0,17,Pijuli Psidium guajava,0.1,12,12.55555534362793,0.4969039949999476,7,7.0,0.17916476032923465,0.4724968657140283
18.590826_82.820535,18.5908,82.8205,5.818,968.0,KORAPUT,SEMILIGUDA,HATIMUNDA,,18,6.9326,7.8,4.5556,9.0,11.3354,3113.946,13.0,18,Jamu Koli Syzygium cumini,0.0556,21,20.66666603088379,0.4714045207910317,7,7.0,0.10273176163116875,0.8373277502096712
18.590907_82.822339,18.5909,82.8223,4.852,960.4,KORAPUT,SEMILIGUDA,HATIMUNDA,,18,8.5743,9.4,5.3333,12.0,8.0285,1901.5833,13.0,18,Kamini Murraya paniculata,0.0556,21,21.0,0.0,7,7.0,0.1002509039649923,0.8049664121892003
18.591008_82.821617,18.591,82.8216,5.4,959.8,KORAPUT,SEMILIGUDA,HATIMUNDA,,18,7.9466,8.4,6.0556,10.0,10.8933,2530.5636,13.0,14,Nimba Azadirachta indica,0.1111,24,23.44444465637207,0.4969039949999985,8,7.44444465637207,0.11664138424832997,0.816110179652589
18.591102_82.824347,18.5911,82.8243,4.901,856.9961,KORAPUT,SEMILIGUDA,HATIMUNDA,,20,12.1941,23.2,17.2,25.0,12.7324,4834.0131,8.0,15,Gau Koli Diospyros ferrea,0.1,14,15.0,1.9436506316151,7,7.333333492279053,0.21383722479040967,0.6519963363959782
18.591333_82.817649,18.5913,82.8176,4.869,941.2002,KORAPUT,SEMILIGUDA,BILAPUT,,33,5.2401,6.0,3.1767,6.0,6.2119,1503.5367,28.0,12,Amba Mangifera indica,0.2121,16,15.777777671813965,0.6285393610547179,6,6.111111164093018,0.19675746401270275,0.7634995610984293
18.591473_82.819057,18.5915,82.8191,5.671,965.9,KORAPUT,SEMILIGUDA,HATIMUNDA,,18,6.4491,6.8,4.1667,8.0,10.3804,2430.5347,8.0,17,Pitmari Cipadessa baccifera,0.1111,20,19.88888931274414,0.7370277311900736,7,6.777777671813965,0.10635293032314666,0.8315727190176138
18.591548_82.816364,18.5915,82.8164,4.772,884.3884,KORAPUT,SEMILIGUDA,BILAPUT,,40,4.9343,5.4,3.07,7.0,8.0373,3817.4905,48.0,14,Charkauli Buchanania lanzan,0.2,15,15.333333015441895,0.4714045207910317,6,6.0,0.19998603476820995,0.7307678001378647
18.591818_82.815917,18.5918,82.8159,4.871,903.209,KORAPUT,SEMILIGUDA,BILAPUT,,30,4.7063,5.2,2.784,6.0,7.7137,2407.1389,38.0,15,Charkauli Buchanania lanzan,0.1,15,15.0,0.0,5,5.0,0.22997232057671216,0.728389724740392
18.592142_82.814825,18.5921,82.8148,4.663,896.9866,KORAPUT,SEMILIGUDA,BILAPUT,,24,3.776,4.4,2.3067,5.0,6.7376,1537.2776,33.0,14,Charkauli Buchanania lanzan,0.1667,15,14.55555534362793,0.4969039949999476,5,5.0,0.1806188743342201,0.758894543574388
18.59228_82.828686,18.5923,82.8287,5.657,950.5,KORAPUT,SEMILIGUDA,HATIMUNDA,,20,16.8402,18.2,9.15,30.0,7.0506,1581.4431,13.0,19,Baincha Flacourtia indica,0.1,17,16.55555534362793,0.6849348892187711,6,6.0,0.155448836746341,0.7845663836137671
18.592398_82.819353,18.5924,82.8194,6.866,928.6,KORAPUT,SEMILIGUDA,HATIMUNDA,,18,6.6089,7.0,4.3889,8.0,13.0684,3814.2278,13.0,18,Jamu Koli Syzygium cumini,0.0556,23,22.66666603088379,0.4714045207910317,7,7.0,0.08374636617269335,0.8137222056676434
18.593711_82.815814,18.5937,82.8158,4.944,901.6,KORAPUT,SEMILIGUDA,HATIMUNDA,,8,5.2594,5.4,4.5,7.0,6.4856,349.743,13.0,7,Karanja Pongamia pinnata,0.25,14,13.666666984558105,0.4714045207910317,5,5.0,0.13939734773425097,0.760081367752765
18.594241_82.828147,18.5942,82.8281,4.788,881.5291,KORAPUT,SEMILIGUDA,HATIMUNDA,,20,9.2142,24.2,15.75,33.0,10.2655,3021.3179,13.0,17,Kendu Diospyros melanoxylon,0.1,19,18.66666603088379,0.4714045207910317,7,7.0,0.1641909597736569,0.7742915689569264
18.594449_82.811828,18.5944,82.8118,4.948,913.2,KORAPUT,SEMILIGUDA,HATIMUNDA,,10,6.0619,6.0,4.386,9.0,10.1541,1139.9473,18.0,8,Amba Mangifera indica,0.2,16,16.0,0.6666666666666666,7,6.666666507720947,0.16888280791565544,0.6871157555595199
18.594997_82.814868,18.595,82.8149,4.988,903.6,KORAPUT,SEMILIGUDA,HATIMUNDA,,9,6.4361,6.4,4.5556,8.0,7.3919,567.3078,8.0,8,Amba Mangifera indica,0.2222,15,15.55555534362793,0.4969039949999476,6,6.0,0.16509508924246663,0.6823342092315859
18.595014_82.827976,18.595,82.828,4.158,903.4822,KORAPUT,SEMILIGUDA,HATIMUNDA,,20,11.2888,18.0,12.4,22.0,10.3769,3236.0975,23.0,16,Kala Bhalia Anacardium Semecarpus,0.1,19,18.22222137451172,1.1331154474650682,6,6.0,0.14498608440898214,0.7351815374872144
18.595431_82.826381,18.5954,82.8264,4.871,938.8,KORAPUT,SEMILIGUDA,HATIMUNDA,,7,4.8442,4.52,4.0857,5.0,6.3662,329.9282,38.0,6,Jamu Koli Syzygium cumini,0.2857,12,12.333333015441895,0.4714045207910317,5,5.111111164093018,0.2625059270456181,0.6772623273644465
18.595601_82.827027,18.5956,82.827,4.854,955.9,KORAPUT,SEMILIGUDA,HATIMUNDA,,20,10.0662,13.2,7.85,16.0,5.5386,926.2818,13.0,20,Kanta Sidhu Euphorbia nivulia,0.05,14,14.11111068725586,0.31426968052735893,6,6.0,0.2466474761979324,0.7067166983733463
18.595819_82.826677,18.5958,82.8267,4.551,898.9935,KORAPUT,SEMILIGUDA,HATIMUNDA,,20,9.3076,15.4,11.25,16.0,11.109,3649.4228,13.0,16,Chandan Santalum album,0.1,15,15.0,0.6666666666666666,6,6.0,0.21733513503671995,0.7045382293099404
18.596046_82.825038,18.596,82.825,3.9,862.646,KORAPUT,SEMILIGUDA,HATIMUNDA,,10,1.8869,1.74,1.64,2.1,1.8112,35.3364,0.0,3,Bhalupati Lantana camara,0.6,15,15.0,0.0,6,5.777777671813965,0.22191857023466133,0.566853674254798
18.596091_82.825235,18.5961,82.8252,4.987,943.4,KORAPUT,SEMILIGUDA,HATIMUNDA,,9,5.0871,5.4,4.4444,6.0,8.3114,655.7979,48.0,5,Jamu Koli Syzygium cumini,0.3333,15,15.222222328186035,0.41573970964156254,6,6.0,0.233804205020881,0.6456324397998666
18.596228_82.824514,18.5962,82.8245,4.888,861.2947,KORAPUT,SEMILIGUDA,HATIMUNDA,,9,1.4543,1.54,1.4333,1.6,1.4324,15.1396,0.0,2,Bhalupati Lantana camara,0.6667,13,12.666666984558105,0.4714045207910317,5,5.222222328186035,0.2360363572163319,0.538362755115585
18.596347_82.826101,18.5963,82.8261,4.883,885.8461,KORAPUT,SEMILIGUDA,HATIMUNDA,,20,9.9745,14.6,11.1,16.0,9.1514,2496.1065,13.0,17,Pitmari Cipadessa baccifera,0.1,16,16.33333396911621,0.4714045207910317,5,5.44444465637207,0.22689003646500827,0.7321735206255382
18.596368_82.824083,18.5964,82.8241,4.245,853.886,KORAPUT,SEMILIGUDA,HATIMUNDA,,10,3.1976,2.808,2.199,4.0,1.9099,42.9718,0.0,3,Bhalupati Lantana camara,0.6,12,11.666666984558105,0.4714045207910317,5,5.111111164093018,0.22119314626749698,0.5861754475125196
18.596488_82.814043,18.5965,82.814,4.966,922.6,KORAPUT,SEMILIGUDA,HATIMUNDA,,9,4.9834,4.8,3.8889,6.0,8.5236,771.3444,18.0,8,Panasa Artocarpus heterophyllus,0.2222,15,14.666666984558105,0.4714045207910317,6,5.777777671813965,0.16518247811390718,0.7739451372045564
18.596536_82.825133,18.5965,82.8251,4.981,888.0498,KORAPUT,SEMILIGUDA,HATIMUNDA,,19,7.8977,12.6,9.8947,13.0,7.8405,1618.2875,23.0,15,Gau Koli Diospyros ferrea,0.1579,17,16.66666603088379,0.4714045207910317,6,5.888888835906982,0.08492975628611091,0.7837916591208274
18.596726_82.822897,18.5967,82.8229,4.915,874.782,KORAPUT,SEMILIGUDA,HATIMUNDA,,10,1.3019,1.42,1.31,1.5,0.748,4.5065,0.0,2,Pitmari Cipadessa baccifera,0.7,10,10.333333015441895,0.4714045207910317,5,5.111111164093018,0.20983763927844137,0.5816800214339706
18.596943_82.824312,18.5969,82.8243,4.835,881.1345,KORAPUT,SEMILIGUDA,HATIMUNDA,,19,14.1649,24.4,13.2105,45.0,7.5222,1575.0769,8.0,15,Jamu Koli Syzygium cumini,0.1053,14,14.11111068725586,0.5665577237325341,6,6.0,0.18684557376296804,0.7515392757784167
18.59697_82.823822,18.597,82.8238,5.0,943.5,KORAPUT,SEMILIGUDA,HATIMUNDA,,7,5.2408,5.2,4.5714,6.0,11.1408,903.9205,28.0,5,Kusuma Schleichera oleosa,0.4286,12,12.55555534362793,0.4969039949999476,5,5.333333492279053,0.25469219744442373,0.6428325916025791
18.597175_82.821483,18.5972,82.8215,4.985,928.7,KORAPUT,SEMILIGUDA,HATIMUNDA,,4,5.876,3.3825,3.3825,7.0,3.8197,67.3225,8.0,4,Kusuma Schleichera oleosa,0.25,13,13.55555534362793,0.6849348892187711,6,6.0,0.18535190007035438,0.6778945110149326
18.59731_82.823396,18.5973,82.8234,4.639,867.0453,KORAPUT,SEMILIGUDA,HATIMUNDA,,11,2.9003,2.24,1.7909,3.5,1.8954,50.7664,0.0,4,Bhalupati Lantana camara,0.4545,13,12.666666984558105,0.4714045207910317,5,5.333333492279053,0.18522507573692124,0.7048491028852953
18.59736_82.822354,18.5974,82.8224,5.583,959.8,KORAPUT,SEMILIGUDA,HATIMUNDA,,7,5.9244,4.2,3.7143,7.0,5.9569,362.1571,23.0,7,Champa Magnolia champaca,0.1429,13,12.666666984558105,0.4714045207910317,6,6.0,0.2042021041250924,0.711626988438559
18.597398_82.824837,18.5974,82.8248,4.595,935.7,KORAPUT,SEMILIGUDA,HATIMUNDA,,6,6.4024,5.0,4.3333,9.0,5.6765,198.5458,48.0,5,Charkauli Buchanania lanzan,0.3333,15,15.333333015441895,0.4714045207910317,5,5.0,0.18424837207085035,0.7096255726471136
18.597412_82.823824,18.5974,82.8238,4.617,870.4716,KORAPUT,SEMILIGUDA,HATIMUNDA,,18,7.0021,25.0,13.2222,41.0,7.162,1325.3628,13.0,16,Kala Bhalia Anacardium Semecarpus,0.1111,13,13.333333015441895,0.4714045207910317,6,5.777777671813965,0.22923670362539456,0.7255123892607652
18.59743_82.823241,18.5974,82.8232,4.988,882.2477,KORAPUT,SEMILIGUDA,HATIMUNDA,,18,6.6949,36.8,19.6111,41.0,5.3052,758.3733,8.0,16,Pitmari Cipadessa baccifera,0.1667,13,13.0,0.0,6,5.888888835906982,0.21423081531594573,0.680212142803263
18.597682_82.819763,18.5977,82.8198,5.0,929.0,KORAPUT,SEMILIGUDA,HATIMUNDA,,27,4.1375,5.014,2.523,5.57,6.378,1776.4079,28.0,9,Bela Aegle marmelos,0.2593,15,14.777777671813965,0.41573970964156254,6,6.0,0.2031563921409426,0.7624782412682841
18.598169_82.819834,18.5982,82.8198,4.76,945.0,KORAPUT,SEMILIGUDA,HATIMUNDA,,9,23.7542,12.26,7.8111,44.0,5.3759,310.193,18.0,7,Charkauli Buchanania lanzan,0.2222,16,15.777777671813965,0.41573970964156254,6,6.0,0.2207454933744372,0.7315582480630256
18.598548_82.821378,18.5985,82.8214,5.295,961.6,KORAPUT,SEMILIGUDA,HATIMUNDA,,7,6.2033,5.8,5.1429,8.0,7.6394,416.031,28.0,2,Amba Mangifera indica,0.8571,19,19.11111068725586,0.31426968052731874,6,6.333333492279053,0.10456019254635728,0.8214610362215683
18.598995_82.819166,18.599,82.8192,6.1,890.7,KORAPUT,SEMILIGUDA,HATIMUNDA,,9,4.6714,4.6,3.4,5.0,6.9215,512.5577,23.0,5,Amba Mangifera indica,0.3333,17,17.0,0.0,7,6.777777671813965,0.20523516773860892,0.7362046635558502
18.602419_82.818844,18.6024,82.8188,4.985,889.4,KORAPUT,SEMILIGUDA,HATIMUNDA,,15,4.9411,4.8,3.3,6.0,5.4113,660.8909,18.0,9,Amba Mangifera indica,0.2,20,19.66666603088379,0.816496580927726,6,6.222222328186035,0.15841584474116305,0.7441647605554003
18.604711_82.818115,18.6047,82.8181,15.487,946.3,KORAPUT,SEMILIGUDA,HATIMUNDA,,15,4.7287,5.0,2.7373,7.0,4.1168,367.4888,18.0,10,Akasia Acacia auriculiformis,0.2,11,10.44444465637207,0.6849348892187711,5,5.0,0.23160225344354743,0.39526173508416423
18.614284_82.839737,18.6143,82.8397,3.7,925.9,KORAPUT,SEMILIGUDA,BARIGUDA,,17,8.784,10.0,5.7341,11.0,7.6582,1046.0459,48.0,5,Other,0.3529,19,18.88888931274414,0.7370277311900736,5,5.0,0.14974007412973717,0.80513470999483
18.614533_82.839458,18.6145,82.8395,4.744,924.6,KORAPUT,SEMILIGUDA,BARIGUDA,,15,7.5788,9.4,5.1473,12.0,6.7057,651.4212,58.0,4,Other,0.4667,18,18.22222137451172,0.41573970964156254,5,5.0,0.17201084161804095,0.7672900237313196
18.615426_82.839528,18.6154,82.8395,4.85,969.5,KORAPUT,SEMILIGUDA,BARIGUDA,,13,10.696,10.6,4.5569,16.0,6.0724,600.1733,58.0,8,Other,0.3077,22,21.55555534362793,0.4969039949999985,6,6.0,0.11845372069230868,0.8085746321492707
18.615788_82.855314,18.6158,82.8553,4.618,840.4939,KORAPUT,SEMILIGUDA,KONDASRIMUNDA,,12,1.2032,1.4,1.1083,2.0,1.6977,29.762,0.0,4,Unidentified shrub22 Indirabuta,0.4167,11,10.666666984558105,0.4714045207910317,5,4.888888835906982,0.2623016857027254,0.5894633891741111
18.615818_82.85548,18.6158,82.8555,4.509,839.7809,KORAPUT,SEMILIGUDA,KONDASRIMUNDA,,9,1.5178,1.7,1.34,2.0,1.8745,26.9768,0.0,4,Unidentified shrub22 Indirabuta,0.4444,11,10.666666984558105,0.4714045207910317,5,5.0,0.25282203491644606,0.6229378162259496
18.615834_82.855468,18.6158,82.8555,4.837,832.5234,KORAPUT,SEMILIGUDA,KONDASRIMUNDA,,7,1.3459,1.6,1.3857,2.0,1.6825,16.4725,0.0,4,Unidentified shrub22 Indirabuta,0.5714,11,10.666666984558105,0.4714045207910317,5,5.0,0.25282203491644606,0.6229378162259496
18.616194_82.856297,18.6162,82.8563,4.934,867.9384,KORAPUT,SEMILIGUDA,KONDASRIMUNDA,,9,1.0004,1.2,1.0644,2.0,1.8038,26.4993,0.0,4,Pitmari Cipadessa baccifera,0.4444,10,10.222222328186035,0.4157397096415474,5,5.0,0.23500715100048714,0.6002271016523613
18.616558_82.841079,18.6166,82.8411,4.586,1000.2,KORAPUT,SEMILIGUDA,BARIGUDA,,17,8.1076,9.4,4.2388,12.0,6.6096,805.4036,63.0,8,Jamu Koli Syzygium cumini,0.2941,17,16.88888931274414,0.31426968052731874,6,5.666666507720947,0.11525541623521501,0.8254856447824972
18.616631_82.839986,18.6166,82.84,4.94,976.6,KORAPUT,SEMILIGUDA,BARIGUDA,,13,8.6924,9.2,4.7738,11.0,6.3907,604.2317,58.0,8,Other,0.3846,17,17.33333396911621,0.4714045207910317,6,6.0,0.090352974047878,0.8537412178681816
